WK_KCPDFirearmsQual | 握持要领用红墨水圈出。 | 训练瞄准
WK_ArmyAPFTManual | 按年龄分组的两英里跑与俯卧撑标准，附后半段体能训练。 | 训练奔跑
WK_HSFootballCondition | 休赛期力量房训练与冲刺组合，脊背夹有钢笔。 | 训练奔跑
WK_BMXRacingTraining | 短跑与过弯技术训练，背面有泥点。 | 训练奔跑
WK_USPFPowerlifting | 深蹲深度、卧推接触与硬拉锁定，含热身表。 | 训练力量
WK_OlympicLiftingNotes | 抓举与挺举：髋铰链、发力点与下沉接杠。 | 训练力量
WK_StrongmanTrainingMan | 阿特拉斯石、原木推举与框架行走：直接转化为实际搬运能力。 | 训练力量
WK_MuscleBuilderMag | 乔·韦德健美杂志，棕橙配色。 | 训练力量
WK_ArmyCombatLifter | 伤亡搬运与障碍突破的体重比例。 | 训练力量
WK_FarmStrengthManual | 原木举起、石块装载与握力训练，适用于持续农场劳动。 | 训练力量
WK_RugbyStrengthMan | 按位置划分的争球群与后卫体能训练。 | 训练力量
WK_FreightDockLiftCard | 货运码头搬运卡，有汗渍。 | 训练力量
WK_CollegeStrengthLog | 每周卧推、深蹲与上举数据，有铅笔批注。 | 训练力量
WK_HSWrestlingStrength | 控体重策略与握力训练。 | 训练力量
WK_ParamedicProtocolMan | 肾上腺素、吗啡、葡萄糖：野外急救人员的剂量与心脏规程。 | 训练急救
WK_ERTriageTextbook | 大规模伤亡的损害控制：第一个小时内的致命因素。 | 训练急救
WK_NursingFundamentals | 后医院时代的伤口评估与感染识别。 | 训练急救
WK_PharmacistDispensing | 非处方药相互作用、最大剂量、抗生素疗程与失效迹象。 | 训练急救
WK_ArmyCombatMedic | 止血带、针刺减压与无后送支援的伤口填塞。 | 训练急救
WK_NursingHomeCareMan | 压疮预防与慢性护理的伤口分期。 | 训练急救
WK_WoundCareSuturing | 清创、按污染程度选择缝合方式，附图解缝线位置。 | 训练急救
WK_PediatricFirstAid | 按体重的儿科用药剂量、儿童CPR比例与病重识别。 | 训练急救
WK_KYBassFishingClub | GPS坐标已划去，季节规律与水深参考保留。 | 训练钓鱼
WK_CrappieAnglersGuide | 沉木深度、丛枝间距与垂直抖钓，附注水温。 | 训练钓鱼
WK_KYTroutStocking | 鱼类与野生动物资源部按溪流列出的放流计划。 | 训练钓鱼
WK_FlyTyingPattern | 模仿水生昆虫的毛钩图案，附毛皮与羽毛来源记录。 | 训练钓鱼
WK_KYRiverCatfishing | 树枝线、浮筒与河湾弯处的饵料投放。 | 训练钓鱼
WK_WalleyeFishingRef | 礁石钓法与水深选择，偏光镜镜片有划痕。 | 训练钓鱼
WK_NoodlingHandfishing | 平石与空木：凭手感分辨鱼与鳄龟。 | 训练钓鱼
WK_KYMusselRegs | 分辨可销售贝壳与受保护物种的合法渔具与物种鉴定。 | 训练钓鱼
WK_KYWildflowerGuide | 肯塔基本地植物彩版图鉴，附栖息地与花期。 | 训练搜寻
WK_StalkingWildAsparagus | 吉本斯采集笔记：去哪找，取哪部分，何时采。 | 训练搜寻
WK_HerbalPharmacyEnc | 酊剂制备与用量笔记，书脊已裂。 | 训练搜寻
WK_WildMushroomHunt | 孢子印与相似种警告，多页已折角。 | 训练搜寻
WK_BackyardForaging | 从草坪到餐桌：蒲公英、马齿苋、酢浆草与车前草。 | 训练搜寻
WK_EthnobotanyText | 东部林地植物用途：按社群分类的食物、药物与纤维。 | 训练搜寻
WK_TraditionalAppPlants | 野韭、美洲商陆、血根草与接骨木，附有毒物种处理笔记。 | 训练搜寻
WK_HunterGatherersRef | 秋挖根、春采叶、夏收种，按季节分类。 | 训练搜寻
WK_WildEdiblesCookbook | 羊蹄草、橡子粉与宽叶香蒲花粉：从识别到实际烹饪。 | 训练搜寻
WK_ApacheScoutTracking | 压力释放形态与微痕读取，判断方向与速度。 | 训练追踪
WK_KYCoonHunting | 痕迹读取与上树判断，有无猎犬均可应用，带乡土气息。 | 训练追踪
WK_SARTrackingTraining | 失联者行为规律与区域概率，附横切痕迹附录。 | 训练追踪
WK_TurkeyHuntingRef | 鸣叫节奏、诱饵摆放与栖木读取。 | 训练追踪
WK_BloodhoundHandlerCard | 气味物品处理与绕行恢复追踪，专为副警长编写。 | 训练追踪
WK_WildlifeBiologyText | 活动范围、栖息廊道与季节迁移：生态背后的原因。 | 训练追踪
WK_BowHunterCamoMan | 按季节划分的站位布置与轮廓破除技术。 | 训练追踪
WK_NavySEALReconPamph | 隐蔽点构建与反追踪措施。 | 训练追踪
WK_SignReadingNotes | 压力释放示意图与痕迹老化判断，叠折成口袋大小。 | 训练追踪
WK_NTAFurHandlersGuide | 套筒剥皮与整皮，撑皮架尺寸及优质皮张与等外品的区别。 | 训练诱捕
WK_KYBeaverTrapPamph | 塘边设置与滑道设置技术，手册带有海狸香气味。 | 训练诱捕
WK_FoxHolerLureRecipes | 按季节配制的腺体与食物诱饵：狐狸用尿液与臭鼬的比例。 | 训练诱捕
WK_ConibearSetTechnique | 体型夹放置位置与扳机灵敏度调整。 | 训练诱捕
WK_FootholdStakingRef | 岩石、沙地与冻土上的固定桩与转环设置，以及拖钩选项。 | 训练诱捕
WK_USDAAnimalDamage | 联邦动植物健康检验服务局损害控制手册。 | 训练诱捕
WK_KDFWRNuisanceWild | 河狸、土狼与旱獭的活捕与排除措施及处置方式。 | 训练诱捕
WK_MuskratPeltStretch | 撑皮架规格、肉膜深度与干燥时间，单页压膜。 | 训练诱捕
WK_FurAuctionGrading | 按物种列出的分级标准，附猎获时机的成熟期日历。 | 训练诱捕
WK_CabinetmakerJoinery | 按木材种类列出的燕尾榫、箱形榫与榫卯比例。 | 训练木工
WK_RoofFramingCalcCard | 四坡顶与山墙顶的坡度表与椽条出檐。 | 训练木工
WK_LogHomeBuildersRef | 榫头类型、地梁施工与填缝规格。 | 训练木工
WK_AppTimberFramePamph | 无需工程图的楔销榫卯结构按跨度尺寸。 | 训练木工
WK_ScoutCarpentryMerit | 划线规、凿刀与顺纹下刀前的木纹读取。 | 训练木工
WK_FurnitureMakerNotes | 柜体与箱体家具的榫卯尺寸。 | 训练木工
WK_VocSchoolBuildTrades | 墙体、楼面与屋顶框架：来自真正建过房子的人。 | 训练木工
